EnglishQuestion,ArabicQuestion
Fire extinguishers present and accessible,وجود طفايات الحريق وسهولة الوصول إليها
Emergency exits clearly marked and unobstructed,مخارج الطوارئ واضحة وخالية من العوائق
Smoke detectors installed and operational,كواشف الدخان مثبتة وتعمل بشكل صحيح
Sprinkler system inspected and functional,نظام الرش الآلي مفحوص ويعمل بشكل صحيح
Fire alarm control panel operational,لوحة إنذار الحريق تعمل بشكل صحيح
Emergency lighting operational,إنارة الطوارئ تعمل بشكل صحيح
Exit signage illuminated,لوحات مخارج الطوارئ مضاءة
Fire doors intact and self-closing,أبواب الحريق سليمة وتغلق تلقائيًا
Electrical panels labeled and accessible,لوحات الكهرباء مسماة ويمكن الوصول إليها
Stairwells free of obstructions,سلالم الطوارئ خالية من العوائق
Safety check question 11,سؤال فحص السلامة 11
Safety check question 12,سؤال فحص السلامة 12
Safety check question 13,سؤال فحص السلامة 13
Safety check question 14,سؤال فحص السلامة 14
Safety check question 15,سؤال فحص السلامة 15
Safety check question 16,سؤال فحص السلامة 16
Safety check question 17,سؤال فحص السلامة 17
Safety check question 18,سؤال فحص السلامة 18
Safety check question 19,سؤال فحص السلامة 19
Safety check question 20,سؤال فحص السلامة 20
Safety check question 21,سؤال فحص السلامة 21
Safety check question 22,سؤال فحص السلامة 22
Safety check question 23,سؤال فحص السلامة 23
Safety check question 24,سؤال فحص السلامة 24
Safety check question 25,سؤال فحص السلامة 25
Safety check question 26,سؤال فحص السلامة 26
Safety check question 27,سؤال فحص السلامة 27
Safety check question 28,سؤال فحص السلامة 28
Safety check question 29,سؤال فحص السلامة 29
Safety check question 30,سؤال فحص السلامة 30
Safety check question 31,سؤال فحص السلامة 31
Safety check question 32,سؤال فحص السلامة 32
Safety check question 33,سؤال فحص السلامة 33
Safety check question 34,سؤال فحص السلامة 34
Safety check question 35,سؤال فحص السلامة 35
Safety check question 36,سؤال فحص السلامة 36
Safety check question 37,سؤال فحص السلامة 37
Safety check question 38,سؤال فحص السلامة 38
Safety check question 39,سؤال فحص السلامة 39
Safety check question 40,سؤال فحص السلامة 40
Safety check question 41,سؤال فحص السلامة 41
Safety check question 42,سؤال فحص السلامة 42
Safety check question 43,سؤال فحص السلامة 43
Safety check question 44,سؤال فحص السلامة 44
Safety check question 45,سؤال فحص السلامة 45
Safety check question 46,سؤال فحص السلامة 46
Safety check question 47,سؤال فحص السلامة 47
Safety check question 48,سؤال فحص السلامة 48
Safety check question 49,سؤال فحص السلامة 49
Safety check question 50,سؤال فحص السلامة 50
Safety check question 51,سؤال فحص السلامة 51
Safety check question 52,سؤال فحص السلامة 52
Safety check question 53,سؤال فحص السلامة 53
Safety check question 54,سؤال فحص السلامة 54
Safety check question 55,سؤال فحص السلامة 55
Safety check question 56,سؤال فحص السلامة 56
Safety check question 57,سؤال فحص السلامة 57
Safety check question 58,سؤال فحص السلامة 58
Safety check question 59,سؤال فحص السلامة 59
Safety check question 60,سؤال فحص السلامة 60
Safety check question 61,سؤال فحص السلامة 61
Safety check question 62,سؤال فحص السلامة 62
Safety check question 63,سؤال فحص السلامة 63
Safety check question 64,سؤال فحص السلامة 64
Safety check question 65,سؤال فحص السلامة 65
Safety check question 66,سؤال فحص السلامة 66
Safety check question 67,سؤال فحص السلامة 67
Safety check question 68,سؤال فحص السلامة 68
Safety check question 69,سؤال فحص السلامة 69
Safety check question 70,سؤال فحص السلامة 70
Safety check question 71,سؤال فحص السلامة 71
Safety check question 72,سؤال فحص السلامة 72
Safety check question 73,سؤال فحص السلامة 73
Safety check question 74,سؤال فحص السلامة 74
Safety check question 75,سؤال فحص السلامة 75
